"12440: Sykefravær for lønnstakere (prosent), etter kjønn, næring (SN2007), type sykefravær, kvartal og statistikkvariabel"

"kjønn";"næring (SN2007)";"type sykefravær";"kvartal";"Sykefraværsprosent"
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2008K3";5.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2008K4";6.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2009K1";7.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2009K2";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2009K3";6.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2009K4";7.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2010K1";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2010K2";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2010K3";5.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2010K4";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2011K1";7.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2011K2";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2011K3";5.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2011K4";6.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2012K1";6.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2012K2";5.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2012K3";5.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2012K4";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2013K1";6.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2013K2";5.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2013K3";4.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2013K4";6.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2014K1";6.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2014K2";5.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2014K3";5.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2014K4";6.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2015K1";6.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2015K2";5.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2015K3";4.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2015K4";5.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2016K1";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2016K2";5.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2016K3";4.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2016K4";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2017K1";6.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2017K2";5.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2017K3";4.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2017K4";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2018K1";6.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2018K2";5.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2018K3";4.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2018K4";5.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2019K1";6.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2019K2";5.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2019K3";4.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2019K4";6.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2020K1";7.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2020K2";5.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2020K3";5.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2020K4";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2021K1";6.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2021K2";5.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2021K3";5.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2021K4";7.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2022K1";8.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2022K2";6.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2022K3";5.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2022K4";7.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2023K1";7.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt og legemeldt";"2023K2";6.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2000K2";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2000K3";0.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2000K4";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2001K1";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2001K2";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2001K3";0.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2001K4";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2002K1";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2002K2";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2002K3";0.5
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2002K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2003K1";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2003K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2003K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2003K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2004K1";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2004K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2004K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2004K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2005K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2005K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2005K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2005K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2006K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2006K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2006K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2006K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2007K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2007K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2007K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2007K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2008K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2008K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2008K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2008K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2009K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2009K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2009K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2009K4";1.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2010K1";1.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2010K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2010K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2010K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2011K1";1.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2011K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2011K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2011K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2012K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2012K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2012K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2012K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2013K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2013K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2013K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2013K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2014K1";1.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2014K2";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2014K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2014K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2015K1";1.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2015K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2015K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2015K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2016K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2016K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2016K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2016K4";1.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2017K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2017K2";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2017K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2017K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2018K1";1.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2018K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2018K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2018K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2019K1";1.2
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2019K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2019K3";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2019K4";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2020K1";1.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2020K2";0.6
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2020K3";0.7
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2020K4";0.9
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2021K1";1.0
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2021K2";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2021K3";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2021K4";1.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2022K1";2.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2022K2";1.1
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2022K3";0.8
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2022K4";1.4
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2023K1";1.3
"Begge kjønn";"A-U Alle næringer";"Egenmeldt";"2023K2";0.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2000K2";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2000K3";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2000K4";6.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2001K1";6.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2001K2";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2001K3";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2001K4";6.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2002K1";6.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2002K2";6.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2002K3";5.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2002K4";6.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2003K1";7.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2003K2";6.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2003K3";6.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2003K4";7.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2004K1";7.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2004K2";6.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2004K3";4.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2004K4";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2005K1";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2005K2";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2005K3";4.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2005K4";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2006K1";6.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2006K2";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2006K3";4.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2006K4";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2007K1";5.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2007K2";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2007K3";4.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2007K4";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2008K1";5.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2008K2";5.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2008K3";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2008K4";5.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2009K1";6.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2009K2";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2009K3";5.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2009K4";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2010K1";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2010K2";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2010K3";4.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2010K4";5.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2011K1";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2011K2";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2011K3";4.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2011K4";5.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2012K1";5.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2012K2";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2012K3";4.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2012K4";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2013K1";5.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2013K2";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2013K3";4.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2013K4";5.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2014K1";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2014K2";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2014K3";4.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2014K4";5.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2015K1";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2015K2";4.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2015K3";4.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2015K4";4.9
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2016K1";5.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2016K2";4.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2016K3";4.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2016K4";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2017K1";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2017K2";4.8
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2017K3";4.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2017K4";5.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2018K1";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2018K2";4.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2018K3";4.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2018K4";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2019K1";5.3
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2019K2";4.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2019K3";4.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2019K4";5.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2020K1";6.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2020K2";5.0
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2020K3";4.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2020K4";5.4
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2021K1";5.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2021K2";5.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2021K3";4.5
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2021K4";5.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2022K1";6.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2022K2";5.2
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2022K3";4.6
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2022K4";5.7
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2023K1";6.1
"Begge kjønn";"A-U Alle næringer";"Legemeldt";"2023K2";5.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2000K2";4.8
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2000K3";4.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2000K4";5.0
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2001K1";5.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2001K2";5.0
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2001K3";4.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2001K4";5.6
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2002K1";5.9
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2002K2";5.3
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2002K3";4.9
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2002K4";6.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2003K1";6.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2003K2";6.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2003K3";5.6
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2003K4";6.8
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2004K1";6.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2004K2";5.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2004K3";4.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2004K4";5.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2005K1";5.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2005K2";4.6
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2005K3";4.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2005K4";4.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2006K1";5.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2006K2";4.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2006K3";4.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2006K4";4.7
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2007K1";5.2
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2007K2";4.3
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2007K3";4.3
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2007K4";5.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2008K1";5.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2008K2";4.6
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2008K3";4.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2008K4";5.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2009K1";6.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2009K2";5.1
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2009K3";4.8
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2009K4";5.6
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2010K1";5.3
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2010K2";4.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2010K3";4.3
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2010K4";5.0
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2011K1";5.5
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2011K2";4.4
"Begge kjønn";"A Jordbruk, skogbruk og fiske";"Egenmeldt og legemeldt";"2011K3";3.7
